id,question,A,B,C,D,answer
126,স্বাভাবিক কথোপকথনে শব্দের তীব্রতা লেভেল কত?,40 dB,50 dB,60 dB,70 dB,C
127,মাইকেল ফ্যারাডে কত খ্রিস্টাব্দে তড়িৎ চৌম্বক আবেশ আবিষ্কার করেন ?,1831,1819,1751,1758,A
128,সবচেয়ে বেশি চার্জ থাকে চার্জিত বস্তুর কোন অংশে?,অবতল তলে,উত্তল তলে,কেন্দ্রে,সমতল তলে,B
129,তড়িৎ বলরেখা অবতারণা করেন কে ?,লেঞ্জ,ফ্যারাডে ,নিউটন,আইন্সটাইন,B
130,যদি স্পর্শ কোন 900 এর চেয়ে কম হয় তাহলে তরলের পৃষ্ঠ কেমন হবে?,অবতল,উত্তল্,সমতলাবতল,সমতলোত্তল,A
131,বলের দ্বারা কাজের ক্ষেত্রে বল ও সরণের মধ্যে কোণের পরিমাণ কত?,0° < θ ≤ 90°,0° ≤ θ < 90°,0° ≤ θ ≤ 90°,0° ≤ θ < 180°,B
132,শূন্য মাধ্যমে `1/(sqrt(ϵ_0μ_0)` এর মান কত?,8.85×10−12C2N−1m−2,3×108ms−1,`sqrt(3×10^8ms−1)`,4π×10−7NA−2,B
133,বর্তনীতে অ্যামিটারকে রোধের সাথে কীভাবে যুক্ত করতে হয়?,শ্রেণীতে,সমান্তরালে,শ্রেণী ও সমান্তরাল উভয়ভাবে,কোনোটিই নয়,A
134,বিশুদ্ধ জার্মেনিয়ামের সঙ্গে কোন অপদ্রব্য মেশালেp- টাইপ অর্ধপরিবাহী উৎপন্ন হবে?,ফসফরাস,বোরন,অ্যান্টিমনি,কোনোটি নয়,B
135,পাশাপাশি স্থাপিত দুটি পরিবাহী তারের মধ্যে ভিন্ন ভিন্ন উৎস হতে একই দিকে তড়িৎ প্রবাহ চালালেও উহারা-,পরস্পরকে আকর্ষণ করবে,পরস্পরকে বিকর্ষণ করে,কোন বল অনুভব করবে না,শীতল হয়ে যাবে,A
136,একটি স্পিং ধ্রুবকের পর্যায়কাল T=2π√mkT=2πmk ভূ-পৃষ্ঠে 3 sec হলে পৃথিবীর কেন্দ্রে এর দোলনকাল কত?,0 sec,2 sec,3 sec,∝,D
137,আপেক্ষিক তত্ত্ব কতভাগে বিভক্ত?,3,2,5,4,B
138,27°C তাপমাত্রায় তাপগ্রাহক বিশিষ্ট কার্নোইঞ্জিনের দক্ষতা 20%। দক্ষতা দ্বিগুণ করতে তাপ উৎসের তাপমাত্রা কিরূপ পরিবর্তন করতে হবে?,125°C বাড়াতে হবে,375°C কমাতে হবে,125K কমাতে হবে,227°C বাড়াতে হবে,A
139,500g ভরের একটি বস্তু 2m ব্যাসার্ধের বৃত্তাকার পথে আবর্তন করছে। আবর্তনকাল 10s হলে বস্তটির কৌণিক ভরবেগ কত?,`1.256 kgm^2s^-1`,`2.256 kgm^2s^-1`,`3.256 kgm^2s^-1`,`4.256 kgm^2s^-1`,A
140,55 kg ভরবিশিষ্ট একজন লোক 1 মিনিটে 5 kg ভরের একটি বোঝা নিয়ে 10 m উঁচু বাড়ির ছাদে উঠল। লোকটির কাজ করার হার কত?,980 W,5880 W,98 W,10 W,C
141,ফারেনহাইট স্কেলে কোন বস্তুর তাপমাত্রা 50°F হলে কেলভিন স্কেলে উক্ত বস্তুর তাপমাত্রা কত?,273K,373K,283K,383K,C
142,"ইয়ং এর দ্বি-চিড় পরীক্ষায় ডোরার প্রস্থ পাওয়া গেল 5 mm, চিড়দ্বয়ের দূরত্ব অর্ধেক করা হলে ডোরার প্রস্থ হবে-",10 mm,2.5 mm,20 mm,7.5 mm,A
143,"দুটি ভেক্টর`vecP,vecQ` এর লব্ধি`vecR` এর মান কত?",সর্বদা R = P + Q,সর্বদা R < P + Q,সর্বদা R > P ~ Q,P ~ Q ≤ R ≤ P + Q,D
144,"একটি LED-এর আলোর তরঙ্গদৈর্ঘ্য 4500 × 10-10 m হলে, এটি কোন ধরনের আলো হতে পারে ?",লাল,সবুজ,নীল,হলুদ,C
145,একটি রাইফেলের পাল্লা 100 মিটার। চন্দ্রের মাধ্যাকর্ষণ শক্তি পৃথিবীর মাধ্যাকর্ষণ শক্তির 1/6 হলে একইরূপ অবস্থায় চন্দ্রপৃষ্ঠে রাইফেলের পাল্লা হবে- ,600 m,900 m,400 m,300 m,A
146,"কম থেকে বেশি অভিকর্ষীয় ত্বরণ 'g' অনুসারে সাজাও। (ঢাকা = D, রোম = R, উত্তর মেরু = N, বিষুবরেখাতে একটি জাহাজ = = E)",DREN,EDRN ,RNED,DENR,B
147,কাগজের ভার হিসেবে ব্যবহৃত একটি পুরো কাচ(প্রতিসরণাঙ্ক 1.5 ) খন্ডের উপর থেকে খাড়া নিচের দিকে তাকালে কাগজের উপর একটি দাগ কাচের উপর প্রান্ত থেকে নিচে দেখা যায়। কাচ খন্ডটির পুরত্ব কত ?,4 cm,6 cm,9 cm,12 cm,C
148,ঘটনা দিগন্তের ব্যাসার্ধ এর সমীকরণ কোনটি?,R= GM/2c2,R = GM/c2,R = c2/2GM,R = 2GM/c2,D
149,একটি বুলেট কোনো কাঠের তক্তা ভেদ করতে এর বেগের 120120 হারায়। বুলেটটি থামাতে কতটি তক্তার প্রয়োজন পড়বে?,10,11,20,21,B
150,আড় তরঙ্গের উদাহরণ নিচের কোনটি?,এক্স-রে,স্প্রিং এর তরঙ্গ,ঢোলের বাড়ির শব্দ,বাঁশির সুর,A
151,জটিল অণুবীক্ষণ যন্ত্র কয়টি উত্তল লেন্স দ্বারা গঠিত?[Dnj,4,1,2,3,C
152,একটি কার্নো ইঞ্জিন 227°C তাপময়াত্রায় তাপ গ্রহন করে ও 77°C তাপমাত্রায় তাপ বর্জন করে। ইঞ্জিনের দক্ষতা হলো কত ? ,70%,35%,30%,66%,C
153,1 MW এর মান কোনটি হতে পারে না?,1000 KW,106 W,103 j/s,10-3GW,C
154,একটি সরল দোলকের দোলনকাল T। দোলকটি মুক্তভাবে পড়তে থাকলে পরিবর্তিত দোলনকাল হবে-,0,∞ ,2s,T,B
155,B ও H এর অভিমুখ -,বিপরীত দিকে,পরস্পর লম্ব,একই দিকে,কোনটিই নশ,B
156,যে সকল ইলেকট্রনিক বর্তনী এক বা একাধিক ইনপুট গ্রহণ করে বুলিয়ান বীজগণিত অনুযায়ী প্রক্রিয়াজাত করে একটিমাত্র আউটপুট প্রদান করে তাকে কী বলে?,ম্যাজিক গেট,অ্যান্ড গেট,লজিক গেট,এক্সগেট,C
157,50 পাকবিশিষ্ট একটি কুন্ডলীতে 0.01 sec এ 10-3 Wb ফ্লাক্স পরিবর্তন করা হলে কুন্ডলীতে সৃষ্ট আবিষ্ট তড়িৎচালক বলের মান কত?,1 V,5 V,10 V,কোনোটিই নয়,B
158,তড়িৎ প্রবাহকে একমুখীকরণে ব্যবহৃত হয়?,ডায়োড,ট্রানজিস্টর,রোধ,এমপ্লিফায়ার,A
159,একটি সেকেন্ড দোলক ভূ- পৃষ্ঠে সঠিক সময় দেয়। চন্দ্রে নিয়ে গেলে এর দোলনকাল কত হবে? পৃথিবীর ভর চন্দ্রের ভরের 81গুণ এবং পৃথিবীর ব্যাসার্ধ চন্দ্রের ব্যাসার্ধের 4 গুণ।,4.5s,5.4s,3.5s,6.5s,A
160,একটি গাড়ি 5 ms−1 বেগে চলার সময় বল প্রয়োগ করায় 10 s -এ 20 ms−1 বেগ লাভ করে। গাড়িটির ওজন 700 N হলে প্রযুক্ত বল-,107.14 N,1050 N,500.28 N,720 N,A
161,নিচের কোনটি তাপ ইঞ্জিন?,বাষ্পীয় ইঞ্জিন,পেট্রোল ইঞ্জিন,ডিজেল ইঞ্জিন,সবগুলো,D
162,"→A=3ˆi−2ˆj+ˆk,A→=3i^-2j^+k^, →B=6ˆi−mˆj+4ˆkB→=6i^-mj^+4k^ m এর মান কত হলে ভেক্টরদ্বয় লম্ব হবে?",9,-11,12,13,B
163,দুটি চলমান বস্তুর একটির সাপেক্ষে অপরটির গতিকে কী বলে?,পরম গতি,আপেক্ষিক স্থিতি,পরম স্থিতি,আপেক্ষিক গতি,D
