id,question,A,B,C,D,topic,question_type
185,Which is the vector form of centripetal force?,`(m(vecvtimesvecv))/r`,`-(m(vecvtimesvecv))/r`,`m(vecomegan-vecomega)vecr`,`-m(vecomega-vecomega)vecr`,Laws of Motion,Theoretical
186,A wire of 30 cm length is in unison with a tuning fork; To bring it back to unison after doubling the tension; what is the required length of the wire?,32.34 cm,42.43cm,45 cm,48.43 cm,Waves,Mathematical
187,The maximum velocity of a particle in simple harmonic motion is 0.03 ms; if the amplitude of the particle is 0.006 m; what will be the period?,1.256 sec ,1.86 sec ,5 sec ,1.56 sec ,Oscillations,Mathematical
188,The minimum voltage required to overcome the potential barrier is called-,Knee voltage,Operation voltage,Junction voltage,Breakdown voltage,Semiconductor Physics,Definition
189,",A 5V battery is connected in series with a 5Ω resistor and a 5μF capacitor; after 15 minutes of connection; the potential difference across the resistor will be-",5V,2.5V,10V,0V,Current Electricity,Reasoning
190,If the ratio of the diameters of two copper wires of the same resistance is 1:3; what will be the ratio of their lengths?,(1/3),3,(1/9),9,Current Electricity,Mathematical
191,The relationship between the height and the orbital period of an artificial satellite is -,`h=((GMT^2)/(4pi^2))^3-R`,`h=((GMT^3)/(4pi^2))^(1/3)-R`,`h=((GM)/4)^(1/3)(T/pi)^(2/3)-R`,`h=((GMT^3)/(4pi^2))^3-R`,Gravitation,Theoretical
192,1 Gauss is equal to how many Tesla?,10−2 Tesla,10−3 Tesla,10−4 Tesla,10−5 Tesla,Magnetism,Definition
193,Which of the following is correct for the kinetic theory of gases?,Does not obey Newton's laws of motion,The molecules move in random motion,Molecules of all gases are identical,The molecules attract each other,Kinetic Theory,Theoretical
194,Which property of light does the photoelectric effect demonstrate?,Wave,Particle,Dual,None of these,Modern Physics,Theoretical
195,Which is an example of a scalar product?,Work,Torque,Force,Angular momentum,Vectors,Application
196,How does the coefficient of viscosity of a gas relate to temperature?,Directly proportional,Inversely proportional,Proportional to the square root,Inversely proportional to the square root,Fluid Mechanics,Theoretical
197,"The frequencies of two tuning forks are 128 Hz and 384 Hz, respectively; what is the ratio of the wavelengths of the waves produced by the two forks in air?",(1/3),(1/2),(1/4),2,Waves,Mathematical
198,If an object is placed in front of a concave mirror of 12 cm focal length; a three times magnified virtual image is formed; What is the distance of the object from the mirror?,10 cm,9 cm,8 cm,12.50 cm,Ray Optics,Mathematical
199,When the space between the two plates of a parallel plate capacitor is filled with a dielectric; the capacitance increases from 4μF to 52μF; What is the value of the dielectric constant of the dielectric?,48,13,56,15,Electrostatics,Mathematical
200,If the temperature is increased; the resistance of a semiconductor-,will decrease,will increase,will not change,will be zero,Semiconductor Physics,Theoretical
201,A galvanometer with a resistance of 100Ω can safely accept 10mA of current; To measure a current of 10A; what resistance shunt is needed?,1.000Ω,0.1001Ω,0.200Ω,0.001Ω,Current Electricity,Mathematical
202,Which is not a magnetic element of the Earth?,Declination,Inclination,Horizontal component of the Earth's magnetic field,Magnetic intensity,Magnetism,Theoretical
203,The sum of binary numbers (110011)2 and (101101)2 is _,11000002,10101012,10000102,11111112,Semiconductor Physics,Mathematical
204,What is a hypothesis proven by experiment called?,Principle,Postulate,Law,Theory,Experimental Physics,Definition
205,A person was running on a flat road with a speed equal to the speed of vertically falling rain; To protect himself from the rain; at what angle with the vertical must he hold his umbrella?,45°,120°,90°,60°,Kinematics,Mathematical
206,The maximum range of a projectile is 200m; What is the maximum height the projectile will reach?,25 m,50 m,75 m,100 m,Kinematics,Mathematical
207,A 50 kg bomb is dropped from an airplane located 1 km above the ground; What is its kinetic energy just before touching the ground?,`49 × 10^4 J`,`49 × 10^5 J`,`49 × 10^6 J`,`49 × 10^7 J`,Work and Energy,Mathematical
208,"A particle is displaced from point Q(3,-4,-2) to point P(-2,3,5) by applying a force →F=(−2ˆi+3ˆj+4ˆk)N; What is the amount of work done by the force?",50 J,55 J,59 J,60 J,Work and Energy,Mathematical
209,In a constant pressure gas thermometer; if the volume of the gas is 60×10?3m3 at the triple point of water and 120×10-3 m3 at the boiling point of sulfur; what is the boiling point of sulfur?,273.16 K,536.21 K,546.32 K,646.52 K,Thermodynamics,Mathematical
210,If the pole strength of a magnet is 5 × 10-4 Wb and the length of the magnet is 0.25 m; what is the value of its magnetic moment?,1.25×10-4Wb m,2.5×10-4Wb m,1.25×10-5Wb m,2.15×10-5Wb m,Magnetism,Mathematical
211,If the tension in a stretched string is increased 4 times; by how many times will the frequency increase?,16,4,3,2,Waves,Mathematical
212,In a convex lens; if the distance of the object from the lens is 2f; what will be the size of the image?,Diminished,Magnified,Highly diminished,Same as the object,Ray Optics,Theoretical
213,A body at rest explodes into two parts of mass M1 and M2; The two masses move away from each other with velocities V1 and V2 respectively; The ratio V1/V2 will be-,M1/M2,M2/M1,?M1M2M1M2,?M2M1M2M1,Laws of Motion,Mathematical
214,If a freely falling object travels 20m in a second; what distance will it cover in 3s?,90 m,60 m,180 m,45 m,Kinematics,Mathematical
215,From a tube located at a height of 45 m; water drops are falling to the ground at equal time intervals; When the first drop hits the ground; the fourth drop is about to fall from the tube; (g = 10 ms-2),10 m,15 m,20 m,25 m,Kinematics,Mathematical
216,The self-inductance of an inductor is 10 H; If the current through it decreases from 10 A to 7 A in 6×10-2s; what is the induced electromotive force?,500 V,600 V,700 V,400 V,Electromagnetic Induction,Mathematical
217,One ampere-hour is equal to how many coulombs?,36,360,3600,Choice 4,Current Electricity,Mathematical
218,The universal statement with which a scientific theory begins is called-,Hypothesis,Theory,Law,Postulate,Experimental Physics,Definition
219,Which of the following is not present in the nucleus?,Proton,Electron,Neutron,Meson,Nuclear Physics,Theoretical
220,If the angle between two vector quantities of magnitude 20N and 60N is 30°; the magnitude of the resultant of the two quantities is -,77.96 N,75.96 N,65.86 N,78.76 N,Vectors,Mathematical
221,Which of the following cannot be explained by the wave theory of light?,Reflection,Refraction,Photoelectric emission,Diffraction,Modern Physics,Theoretical
222,A rifle bullet can pierce one plank; If the velocity of the bullet is tripled; how many planks can it pierce?,3 planks,9 planks,1 plank,27 planks,Work and Energy,Mathematical
223,The magnitude of the magnetic force on a charge moving parallel to the direction of the magnetic field is-,1,0,-1,0.1,Magnetism,Theoretical
224,1 atmospheric pressure (1 atm) is equal to how many mmHg?,760 mmHg,670 mmHg,76 mmHg,67 mmHg,Fluid Mechanics,Definition
225,The half-life of Au198 is 2.7 days; How much of a piece of Au198 will remain after 2 days?,0.432,0.598,0.312,0.135,Nuclear Physics,Mathematical
226,Curie point is a temperature at which-,a solid substance melts,a liquid substance starts to boil,a solid substance loses its magnetism,a solid substance gains magnetism,Magnetism,Definition
227,27 raindrops of equal size are each charged to 200V; If the drops combine to form a single large drop; what will be the potential of this large drop?,200V,1800V,1980V,2000V,Electrostatics,Mathematical
228,When two capacitors are connected in series and parallel combinations; their equivalent capacitances are 2 μF and 9 μF respectively; What are the capacitances of the two capacitors?,2 μF and 3 μF,3 μF and 4 µF,2 μF and 9 µF,3 μF and 6 μF,Electrostatics,Mathematical
229,In a circuit with 10Ω resistance; if the expression for the change in magnetic flux is φ = (6t2– 5t+ 1) Wb; the induced current at t= 0.25 s will be—,1.2 A,0.8 A,0.6 A,0.2 A,Electromagnetic Induction,Mathematical
230,The unit of Planck's constant is equal to the unit of which of the following quantities?,Momentum,Energy,Angular momentum,Frequency,Units and Dimensions,Reasoning
231,What is the period of a geostationary satellite?,0 hr,24 hr,12 hr,365 hr,Gravitation,Theoretical
232,If the Earth suddenly shrinks so its radius is halved; what will be the change in the length of a day?,will decrease by 12 hours,will decrease by 14 hours,will decrease by 16 hours,will decrease by 18 hours,Rotational Motion,Mathematical
233,Which of the following elements is doped to create a p-type semiconductor?,Phosphorus,Arsenic,Antimony,Indium,Semiconductor Physics,Theoretical
234,Which of the following is a universal logic gate?,OR,AND,NOT,NAND,Semiconductor Physics,Definition
235,For what angle between the applied force and displacement on an object is the amount of work maximum?,0o,45o,90o,30o,Work and Energy,Theoretical
236,If an object is thrown at a velocity of 60ms-1 at an angle of 30°; how much time will it take for the object to return to the ground?,30s,25 s,20 s,6.12 s,Kinematics,Mathematical
237,What power must a crane exert to lift a 300 kg stone onto a roof at a constant velocity of 0.1 ms-1?,294 W,290 W,270 W,0,Work and Energy,Mathematical
238,Which of the following is the correct equation for the mass defect of a nucleus?,Δm = [ Zmp + ( A - Z )mn - M],Δm = [ ( A - Z )mp+ Zmn- M],Δm = [ Zmp+ Amn- M ],Δm = Amp+ Zmn- M,Nuclear Physics,Definition
239,For which of the following is diffraction the greatest?,Gamma ray,Ultraviolet ray,Infrared ray,Radio wave,Wave Optics,Reasoning
240,A water droplet of mass m is given the charge of one electron; What amount of electric field intensity is required to keep this water droplet suspended in the air?,mg/e,em/g,emg,mg,Electrostatics,Mathematical
241,Which is a dimensionless quantity?,Angle,Strain,Solid angle,All of them,Units and Dimensions,Theoretical
242,In a single slit diffraction; the width of the slit is halved and the distance between the screen and the slit is doubled; The width of the central bright fringe will-,be doubled,remain the same,be quadrupled,be halved,Wave Optics,Mathematical
243,Which acts as a control rod in a nuclear reactor?,Cadmium,Uranium,Chromium,Heavy water,Nuclear Physics,Theoretical
244,The difference between the true value and the measured value of a quantity is called-,Absolute error,Gross error,Relative error,Repetitive error,Experimental Physics,Definition
245,What can be the apparent change in Doppler frequency?,Only more,Only less,Both less/more,None of these,Waves,Theoretical
246,On what does the modulus of rigidity of an object depend?,External force,Nature of the material,Shape of the object,None of these,Properties of Matter,Theoretical
247,The Big Bang occurred-,in space,in the solar system,on Earth,everywhere,Astronomy,Historical
248,A stationary object is falling from a height of 4.9m; Due to air flow; the object touches the ground at a horizontal distance of 1 m; What is the horizontal velocity of the air?,0.5,1,2,9.8,Kinematics,Mathematical
249,When a 4 A current flows through a coil of 200 turns; a magnetic flux of 4×10-4 Wb is generated per turn; What is the self-inductance of the coil?,2 H,0.2 H,0.002 H,0.02 H,Electromagnetic Induction,Mathematical
250,According to the work-energy theorem; the work done on an object is equal to the change in its?,Kinetic energy,Angular momentum,Linear momentum,Linear acceleration,Work and Energy,Theoretical
251,What is viscosity comparable to?,Force,Work,Acceleration,Friction,Fluid Mechanics,Comparison
252,Mass number refers to the number of what located in the nucleus?,Electron Proton,Proton and Neutron,Neutron and Electron,"Proton, Neutron and Electron",Nuclear Physics,Definition
253,Which is the supreme law of Bangladesh?,National Parliament,Constitution,Supreme Court,Penal Code,Miscellaneous,Miscellaneous
254,If the values of gravitational acceleration at two places are 9.8 m/s² and 9.78 m/s² respectively; what will be the difference in the length of a seconds pendulum at those two places?,0.005 m,0.003 m,0.002 m,0.004 m,Oscillations,Mathematical
255,An object is thrown at a velocity of 40ms-1 at an angle of 60° with the horizontal; how many seconds will it take for the object to reach its maximum height?,5.33,3.53,3.35,1.5,Kinematics,Mathematical
